title,score,director,genre
a glimpse inside the mind of charles swan iii,3.524838012958963,roman coppola,"comedies, independent movies"
a go! go! cory carson christmas,3.621019108280255,"stanley moore, alex woo",children & family movies
a go! go! cory carson halloween,3.5124740124740126,"alex woo, stanley moore",children & family movies
a go! go! cory carson summer camp,3.556025369978858,"stanley moore, alex woo",children & family movies
a good man,3.579754601226994,keoni waxman,"action, suspense"
a good old fashioned orgy,3.5792682926829267,"alex gregory, peter huyck",comedy
a good year,3.40978886756238,ridley scott,comedy
a goofy movie,3.4718004338394794,kevin lima,"action-adventure, animation, comedy"
a grand night in: the story of aardman,3.4710467706013364,richard mears,documentaries
a gray state,3.5703781512605044,erik nelson,documentaries
a haunted house,3.5405679513184585,michael tiddes,"comedies, horror movies"
a haunted house 2,3.5551020408163265,michael tiddes,"comedies, horror movies"
a haunting at silver falls: the return,3.479381443298969,teo konuralp,"horror movies, independent movies"
a haunting on brockway street,3.605603448275862,steven t. shippy,documentary
a haunting on dice road 2: town of the dead,3.4699792960662528,steven t. shippy,"drama, horror"
a haunting on dice road: the hell house,3.530800821355236,steven t. shippy,horror
a haunting on hamilton street,3.547080979284369,steven t. shippy,horror
a haunting on potter street,3.5417515274949083,steven t. shippy,"drama, horror"
a haunting on washington avenue: the temple theatre,3.6352201257861636,steven t. shippy,"drama, horror"
a heavy heart,3.566225165562914,thomas stuber,"dramas, independent movies, international movies"
a hell of a ride,3.415811088295688,warren ryan,drama
a hobo's christmas,3.522340425531915,will mackenzie,drama
a holiday engagement,3.5836693548387095,jim fall,"children & family movies, comedies, romantic movies"
a home with a view,3.6429961089494163,herman yau,"comedies, international movies"
a hug,3.57,df fiuza,drama
a husband for christmas,3.4779559118236474,david decoteau,"comedy, drama"
a i 1.o,3.588235294117647,feroz qureshi,drama
a journey around the globe for kids,3.5269151138716355,mark knight,"documentary, special interest"
a journey through chicago,3.530815109343936,mark knight,special interest
a kid from coney island,3.5481695568400773,"coodie, chike","documentaries, sports movies"
a kid in king arthur's court,3.601609657947686,michael gottlieb,"action-adventure, comedy, coming of age"
a kind of murder,3.6002087682672235,andy goddard,thrillers
a kind of wonderful thing,3.5473251028806585,jason lupish,comedy
a knight for a day,3.4713701431492843,jack hannah,"animation, comedy, family"
a land imagined,3.4714867617107945,yeo siew hua,"dramas, international movies"
a landing on the sun,3.5756704980842913,nick renton,"drama, romance, suspense"
a leaf of faith,3.510593220338983,chris bell,documentaries
a life of speed: the juan manuel fangio story,3.501098901098901,francisco macri,"documentaries, international movies, sports movies"
a lion in the house,3.5694736842105264,"steven bognar, julia reichert",tv shows
a little bit zombie,3.4957537154989384,casey walker,"comedy, horror"
a little chaos,3.5324165029469548,alan rickman,"dramas, independent movies, international movies"
a little water,3.5578512396694215,alexandra zelman-doring,"drama, suspense"
a lonely woman,3.56935817805383,juven cavazos,drama
a love song for latasha,3.5246913580246915,sophia nahli allison,documentaries
